Date,URL,Source,Author,Title,Description,Content
2025-01-31,https://www.investing.com/news/company-news/zk-international-to-launch-xsigma-crypto-wallet-with-visa-card-93CH-3842896,Investing.com,Investing.com,ZK International to launch xSigma crypto wallet with Visa card,"ZK International's subsidiary, xSigma Corp., is launching the xSigma Wallet, a new cryptocurrency banking wallet supporting purchases with various payment methods and featuring an xSigma-branded Visa card for crypto-asset top-ups. This initiative addresses memecoin interest and aligns with the company's focus on DeFi, despite ZK International experiencing financial volatility and significant cash burn, as highlighted by InvestingPro. The parent company, specializing in steel pipe products, recently reported a 405% increase in gross profits and secured a $4.47 million contract.","ZK International's subsidiary, xSigma Corp., is launching the xSigma Wallet, a new cryptocurrency banking wallet supporting purchases with various payment methods and featuring an xSigma-branded Visa card for crypto-asset top-ups. This initiative addresses memecoin interest and aligns with the company's focus on DeFi, despite ZK International experiencing financial volatility and significant cash burn, as highlighted by InvestingPro. The parent company, specializing in steel pipe products, recently reported a 405% increase in gross profits and secured a $4.47 million contract."
2025-01-31,https://www.gurufocus.com/news/2676302/blackrock-inc-expands-stake-in-apollo-global-management-inc?mobile=true,GuruFocus,,"BlackRock, Inc. Expands Stake in Apollo Global Management Inc","BlackRock, Inc. has significantly increased its stake in Apollo Global Management Inc by acquiring an additional 12,008,761 shares, boosting its total holdings to 35,519,094 shares. This strategic move, valued at $165.16 per share, diversifies BlackRock's portfolio and strengthens its presence in the alternative investment management sector. Despite Apollo Global Management being currently considered significantly overvalued based on its GF Valuation, its strong profitability, growth metrics, and high market capitalization make it an attractive long-term investment.","BlackRock, Inc. has significantly increased its stake in Apollo Global Management Inc by acquiring an additional 12,008,761 shares, boosting its total holdings to 35,519,094 shares. This strategic move, valued at $165.16 per share, diversifies BlackRock's portfolio and strengthens its presence in the alternative investment management sector. Despite Apollo Global Management being currently considered significantly overvalued based on its GF Valuation, its strong profitability, growth metrics, and high market capitalization make it an attractive long-term investment."
2025-01-31,https://www.etftrends.com/active-etf-channel/apple-earnings-play-continued-tech-strength-active-etf-tteq/,ETF Trends,Nick Peters-Golden,Apple Earnings: Play Continued Tech Strength With Active ETF TTEQ,"Apple's positive earnings report, setting a quarterly record and beating expectations, highlights continued strength in megacap tech. This invites investors to consider growth-oriented ETFs like the active T. Rowe Price Technology ETF (TTEQ), which offers tech exposure and adapts to market opportunities. TTEQ combines investments in key large-cap tech names like AAPL with promising up-and-comers, guided by fundamental research.","Apple's positive earnings report, setting a quarterly record and beating expectations, highlights continued strength in megacap tech. This invites investors to consider growth-oriented ETFs like the active T. Rowe Price Technology ETF (TTEQ), which offers tech exposure and adapts to market opportunities. TTEQ combines investments in key large-cap tech names like AAPL with promising up-and-comers, guided by fundamental research."
2025-01-30,https://seekingalpha.com/article/4753576-nvdu-providing-leverage-to-nvidia-a-hot-tech-stock-that-has-corrected,Seeking Alpha,Andrew Hecht,"NVDU: Providing Leverage To Nvidia, A Hot Tech Stock That Has Corrected (NASDAQ:NVDU)","Nvidia's rapid growth has led to its stock outperforming the NASDAQ and Apple, despite a high P/E ratio. The Direxion Daily NVDA Bull 2X Shares ETF (NVDU) amplifies NVDA's performance but carries significant risk due to its leveraged nature. A recent correction in NVDA's stock could present a buying opportunity, though its valuation remains high.","Nvidia's rapid growth has led to its stock outperforming the NASDAQ and Apple, despite a high P/E ratio. The Direxion Daily NVDA Bull 2X Shares ETF (NVDU) amplifies NVDA's performance but carries significant risk due to its leveraged nature. A recent correction in NVDA's stock could present a buying opportunity, though its valuation remains high."
2025-01-29,https://ackodrive.com/news/apple-expands-satellite-coverage-teams-up-with-starlink-for-i-phone-service-report/,ACKO Drive,Krishna SinhaChaudhury,"Apple Expands Satellite Coverage, Teams Up With Starlink For iPhone Service: Report","Apple, in collaboration with Elon Musk's SpaceX and T-Mobile, is reportedly integrating Starlink satellite connectivity into iPhones. This enables iPhones to connect to Starlink's satellite network for emergency communication and text messaging, with an early access program currently underway for beta testers. This new partnership expands Apple's existing satellite communication services, which were previously provided through Globalstar Inc.","Apple, in collaboration with Elon Musk's SpaceX and T-Mobile, is reportedly integrating Starlink satellite connectivity into iPhones. This enables iPhones to connect to Starlink's satellite network for emergency communication and text messaging, with an early access program currently underway for beta testers. This new partnership expands Apple's existing satellite communication services, which were previously provided through Globalstar Inc."
2025-01-29,https://www.forbes.com/sites/dereksaul/2025/01/29/deepseek-panic-live-updates-nvidia-stock-drops-4-as-trump-reportedly-mulls-china-chip-sale-restrictions/,Forbes,"Derek Saul, Mary Whitfill Roeloffs",DeepSeek Panic Live Updates: Nvidia Stock Drops 4% As Trump Reportedly Targets China Exports,"Nvidia's stock experienced a turbulent week, dropping 4% on Wednesday, amid concerns over a less capital-intensive AI model from China's DeepSeek and reports that Donald Trump is considering stricter export controls on semiconductor chip sales to China. The market volatility, driven by DeepSeek's competitive AI model and potential geopolitical shifts, prompted analysts to reassess the AI investment landscape, though many still view Nvidia's selloff as an overreaction. DeepSeek's emergence has led to significant shifts in market values for major tech companies and ignited debates about the future of AI development and U.S. competitiveness.","Nvidia's stock experienced a turbulent week, dropping 4% on Wednesday, amid concerns over a less capital-intensive AI model from China's DeepSeek and reports that Donald Trump is considering stricter export controls on semiconductor chip sales to China. The market volatility, driven by DeepSeek's competitive AI model and potential geopolitical shifts, prompted analysts to reassess the AI investment landscape, though many still view Nvidia's selloff as an overreaction. DeepSeek's emergence has led to significant shifts in market values for major tech companies and ignited debates about the future of AI development and U.S. competitiveness."
2025-01-29,https://www.bloomberg.com/news/articles/2025-01-29/apple-gets-another-downgrade-on-iphone-risk-ahead-of-results,Bloomberg.com,Ryan Vlastelica,Apple (AAPL) Gets Another Downgrade on iPhone Risk Ahead of Results,"Apple Inc. (AAPL) has received another downgrade, this time from Oppenheimer, citing iPhone risk and a lack of compelling AI applications. This marks at least the fifth downgrade for Apple this month, placing it among the least-loved megacap stocks apart from Tesla Inc. The downgrades come ahead of the company's upcoming earnings results.","Apple Inc. (AAPL) has received another downgrade, this time from Oppenheimer, citing iPhone risk and a lack of compelling AI applications. This marks at least the fifth downgrade for Apple this month, placing it among the least-loved megacap stocks apart from Tesla Inc. The downgrades come ahead of the company's upcoming earnings results."
2025-01-29,https://seekingalpha.com/article/4752956-qorvo-solid-earnings-beat-but-acg-division-pressures-are-likely-to-persist,Seeking Alpha,The Alpha Sieve,"Qorvo: Solid Earnings Beat, But ACG Division Pressures Are Likely To Persist (NASDAQ:QRVO)","Qorvo (QRVO) has underperformed over the past year, losing 17% despite a solid earnings beat in Q3-25. While the company disposed of its SiC power business and lifted its Q4 EPS outlook, its ACG division, which accounts for 70% of group sales, is expected to face ongoing challenges. The article concludes that valuations are not cheap and technical chart conditions are unfavorable, suggesting persistent pressure on the stock.","Qorvo (QRVO) has underperformed over the past year, losing 17% despite a solid earnings beat in Q3-25. While the company disposed of its SiC power business and lifted its Q4 EPS outlook, its ACG division, which accounts for 70% of group sales, is expected to face ongoing challenges. The article concludes that valuations are not cheap and technical chart conditions are unfavorable, suggesting persistent pressure on the stock."
2025-01-29,https://www.xtb.com/int/market-analysis/news-and-research/meta-posts-q4-earnings-beat-but-reality-labs-losses-mount,XTB.com,,"Meta Posts Q4 Earnings Beat, But Reality Labs Losses Mount","Meta Platforms reported strong Q4 2024 earnings, exceeding analysts' expectations in revenue and EPS, driven by its Family of Apps (Facebook, Instagram, WhatsApp). However, the Reality Labs division continued to incur substantial operating losses, raising concerns about the metaverse's future and prompting significant AI infrastructure investments. Despite these losses, Meta's shares performed well, indicating investor confidence in Zuckerberg's overall strategy.","Meta Platforms reported strong Q4 2024 earnings, exceeding analysts' expectations in revenue and EPS, driven by its Family of Apps (Facebook, Instagram, WhatsApp). However, the Reality Labs division continued to incur substantial operating losses, raising concerns about the metaverse's future and prompting significant AI infrastructure investments. Despite these losses, Meta's shares performed well, indicating investor confidence in Zuckerberg's overall strategy."
2025-01-28,https://www.morningstar.com.au/stocks/ai-stock-rout-the-us-selloff-in-4-charts,Morningstar Australia,Sarah Hansen,AI stock rout: The US selloff in 4 charts,"US stocks experienced a selloff, particularly in large-cap growth, following news that Chinese AI startup DeepSeek developed an advanced AI model that requires less sophisticated semiconductor chips. This development triggered concerns about the necessity of significant capital expenditures by large US tech companies in generative AI, leading to a 17% plunge in Nvidia stock and declines in other chipmakers and utility stocks. However, some tech giants like Apple and Meta Platforms saw gains, and Morningstar analysts maintain their fair value estimates for Microsoft, Amazon, and Alphabet, expecting long-term benefits from reduced AI model pricing.","US stocks experienced a selloff, particularly in large-cap growth, following news that Chinese AI startup DeepSeek developed an advanced AI model that requires less sophisticated semiconductor chips. This development triggered concerns about the necessity of significant capital expenditures by large US tech companies in generative AI, leading to a 17% plunge in Nvidia stock and declines in other chipmakers and utility stocks. However, some tech giants like Apple and Meta Platforms saw gains, and Morningstar analysts maintain their fair value estimates for Microsoft, Amazon, and Alphabet, expecting long-term benefits from reduced AI model pricing."
